model,recall_at_k,by_type
nomic-embed-text,0.25400641025641024,"{'short': 0.184, 'long': 0.196, 'direct': 0.41935483870967744, 'implied': 0.316, 'unclear': 0.156}"
embeddinggemma:300m,0.2980769230769231,"{'short': 0.196, 'long': 0.244, 'direct': 0.5524193548387096, 'implied': 0.328, 'unclear': 0.172}"
snowflake-arctic-embed2:568m,0.3108974358974359,"{'short': 0.192, 'long': 0.264, 'direct': 0.5967741935483871, 'implied': 0.34, 'unclear': 0.164}"
dengcao/Qwen3-Embedding-0.6B:Q8_0,0.33253205128205127,"{'short': 0.228, 'long': 0.296, 'direct': 0.5766129032258065, 'implied': 0.356, 'unclear': 0.208}"
qwen3-embedding:8b,0.3645833333333333,"{'short': 0.236, 'long': 0.336, 'direct': 0.6169354838709677, 'implied': 0.384, 'unclear': 0.252}"
